Total_Goals,H_Goal_Conversion,A_Goal_Conversion,Expected_Goals_Home,Expected_Goals_Away,H_Shot_Efficiency,A_Shot_Efficiency,H_Attack_Intensity,A_Attack_Intensity,Match_Intensity,H_Avg_Goals_Last5,A_Avg_Goals_Last5,H_Avg_Corners_Last5,A_Avg_Corners_Last5
2,0.25,0.3333333333333333,2.1,1.2,0.4,0.3333333333333333,23,15,38,1.0,1.3333333333333333,7.0,5.333333333333333
5,0.5714285714285714,0.16666666666666666,2.7,2.4,0.5833333333333334,0.5454545454545454,25,23,48,1.5,1.6666666666666667,6.0,4.333333333333333
4,0.25,0.3333333333333333,3.0,2.4,0.6666666666666666,0.6,26,22,48,2.0,1.6666666666666667,7.666666666666667,4.666666666666667
3,0.0,0.42857142857142855,1.2999999999999998,2.2,0.42857142857142855,0.7777777777777778,14,17,31,2.0,1.3333333333333333,6.666666666666667,3.0
7,0.5714285714285714,0.6,2.7,1.9,0.5,0.5,27,19,46,1.3333333333333333,0.3333333333333333,7.0,4.0
1,0.0,0.1111111111111111,3.1,3.5,0.7777777777777778,0.6,26,32,58,2.0,0.6666666666666666,7.0,5.666666666666667
4,0.125,0.6,3.0,2.1,0.5,0.7142857142857143,30,18,48,2.0,2.3333333333333335,5.666666666666667,4.0
2,0.16666666666666666,0.16666666666666666,2.5,1.9999999999999998,0.42857142857142855,0.6666666666666666,27,17,44,1.0,0.0,9.0,2.6666666666666665
1,0.2,0.0,1.8,2.3,0.7142857142857143,0.3076923076923077,15,28,43,3.0,2.0,8.666666666666666,5.333333333333333
3,0.6,0.0,1.8,0.7,0.45454545454545453,0.2,19,13,32,2.0,1.3333333333333333,9.666666666666666,4.0
0,0.0,0.0,2.1,0.8,0.45454545454545453,0.25,22,12,34,1.3333333333333333,1.0,3.3333333333333335,5.333333333333333
1,0.1,0.0,3.7,1.2999999999999998,0.625,0.375,33,15,48,2.5,1.0,7.25,4.75
3,0.4,0.2,1.8,2.0,0.0,1.25,8,14,22,0.25,1.0,6.25,4.0
2,0.3333333333333333,0.25,1.7999999999999998,2.0,0.42857142857142855,0.5714285714285714,19,19,38,1.5,1.0,6.0,8.25
2,0.125,0.5,3.2,1.1,0.7272727272727273,0.2857142857142857,27,14,41,1.0,1.5,5.0,6.75
4,0.3,0.125,3.8,2.9,0.45454545454545453,0.8,40,23,63,2.0,1.5,6.75,6.5
3,0.0,0.6,1.8,2.2,0.4,0.3125,20,28,48,1.0,1.5,7.5,6.75
2,0.2,0.0,3.5,1.2000000000000002,0.7692307692307693,0.2,28,18,46,1.5,0.25,7.75,2.5
1,0.09090909090909091,0.0,3.8,0.6,0.6875,0.18181818181818182,32,13,45,1.0,1.0,4.0,6.0
4,0.0,0.36363636363636365,0.4,3.5999999999999996,0.0,0.6875,10,30,40,2.0,1.0,6.75,3.25
4,0.5,0.375,1.2000000000000002,3.0,0.25,0.5333333333333333,16,29,45,1.0,0.75,5.25,6.25
2,0.0,0.6666666666666666,1.7999999999999998,0.9999999999999999,0.42857142857142855,0.25,19,16,35,0.75,1.75,5.75,2.5
1,0.5,0.0,1.1,2.4,0.4,0.75,12,20,32,2.0,2.5,7.25,4.5
7,0.3157894736842105,0.3333333333333333,6.7,0.8999999999999999,0.5757575757575758,1.0,62,6,68,2.25,1.75,8.0,5.0
1,0.09090909090909091,0.0,4.3,1.7999999999999998,0.4583333333333333,0.375,45,20,65,2.0,0.75,8.75,4.5
3,0.21428571428571427,0.0,5.4,0.4,0.5384615384615384,0.0,52,9,61,3.5,1.0,6.0,6.0
1,0.0,0.25,1.7,1.6,0.36363636363636365,0.4444444444444444,20,17,37,1.25,1.25,5.5,4.75
4,0.375,0.14285714285714285,3.1,2.5,0.4444444444444444,0.875,33,19,52,1.75,1.5,6.5,4.75
3,0.3333333333333333,0.4,1.4,1.9,0.2727272727272727,0.38461538461538464,19,22,41,1.0,1.0,8.5,8.0
0,0.0,0.0,1.9,1.2,0.23529411764705882,0.42857142857142855,28,13,41,2.3333333333333335,0.75,6.0,4.0
2,0.0,0.5,2.6999999999999997,1.5,0.3157894736842105,0.36363636363636365,34,18,52,1.75,1.0,5.75,4.5
5,0.35714285714285715,0.0,5.2,1.0,0.6363636363636364,0.3333333333333333,46,12,58,2.2,1.2,7.2,4.2
3,0.2857142857142857,0.25,3.0,1.8,0.5833333333333334,0.5714285714285714,28,17,45,1.75,1.4,6.25,6.2
3,0.42857142857142855,0.0,2.3000000000000003,1.2,0.7777777777777778,0.5,18,12,30,3.0,1.0,8.4,4.2
3,0.18181818181818182,0.3333333333333333,3.9,0.9999999999999999,0.5789473684210527,0.42857142857142855,36,11,47,1.0,2.0,5.6,4.8
3,0.4,0.5,2.2,0.9,0.5555555555555556,0.2857142857142857,21,12,33,0.8,1.4,7.2,4.6
5,0.625,0.0,3.1,2.2,0.5,0.4166666666666667,31,24,55,3.4,1.0,7.2,8.2
1,0.14285714285714285,0.0,2.2,1.5,0.6363636363636364,0.4,19,17,36,1.0,1.6,4.2,4.0
1,0.25,0.0,1.5,2.3,0.36363636363636365,0.4166666666666667,18,25,43,1.0,1.2,7.8,6.2
2,0.16666666666666666,0.1111111111111111,2.3,3.5999999999999996,0.5454545454545454,0.75,22,30,52,0.6,0.75,6.4,5.5
4,0.375,0.14285714285714285,3.3,2.7,0.8,0.7777777777777778,27,22,49,1.8,1.2,9.0,4.6
2,0.2857142857142857,0.0,2.4000000000000004,3.0,0.6363636363636364,0.6666666666666666,21,26,47,1.8,0.2,6.8,3.2
3,0.5,0.3333333333333333,0.9,2.6999999999999997,0.5,0.5454545454545454,9,26,35,0.6,1.8,5.6,6.8
7,0.5714285714285714,0.375,2.8000000000000003,3.1,0.7,0.5714285714285714,24,29,53,2.2,1.6,7.0,3.2
1,0.0,0.5,1.7999999999999998,1.0,0.21428571428571427,0.6666666666666666,26,9,35,1.6,0.6,7.2,5.4
1,0.0,0.125,1.4,3.2,0.75,0.7272727272727273,12,27,39,1.0,1.2,5.4,7.2
3,0.3333333333333333,0.2,2.5,1.9,0.5454545454545454,0.625,24,17,41,1.0,1.8,5.4,2.2
5,0.75,0.5,1.9,1.9,0.4,0.4444444444444444,21,20,41,1.4,0.8,6.4,4.8
3,0.3333333333333333,0.3333333333333333,2.5999999999999996,1.6,0.5454545454545454,0.25,25,22,47,2.0,0.6,6.6,3.8
1,0.0,1.0,2.4,0.5,0.42857142857142855,0.25,26,7,33,1.4,0.8,6.6,4.6
0,0.0,0.0,1.2000000000000002,1.9,0.14285714285714285,1.0,22,13,35,1.6,1.4,6.2,6.4
0,0.0,0.0,3.6999999999999997,0.6,0.6,0.2222222222222222,34,11,45,2.8,1.2,7.2,4.0
2,0.3333333333333333,0.0,2.8,0.7,0.5454545454545454,0.6666666666666666,27,6,33,1.8,0.8,6.8,3.8
1,0.0,0.25,2.0999999999999996,1.5,0.5454545454545454,0.4444444444444444,20,16,36,0.4,1.4,6.2,5.0
2,0.15384615384615385,0.0,5.2,1.5,0.43333333333333335,0.5714285714285714,56,14,70,1.2,1.6,6.0,6.4
2,0.25,1.0,1.2,0.6000000000000001,0.5,0.14285714285714285,12,11,23,1.2,1.2,7.6,7.6
3,0.18181818181818182,1.0,4.3,0.3,0.6111111111111112,0.2,39,6,45,4.0,1.6,7.2,4.2
4,0.4,0.4,2.2,1.9,0.45454545454545453,0.5,23,19,42,1.0,0.6,4.0,8.0
5,0.36363636363636365,0.2,4.0,2.0,0.5,0.5,40,20,60,1.2,1.2,6.2,3.8
2,0.14285714285714285,0.3333333333333333,2.4000000000000004,1.0999999999999999,0.5833333333333334,0.2727272727272727,22,16,38,2.8,0.8,7.4,6.2
5,0.3076923076923077,0.2,4.6,1.6,0.6842105263157895,0.5,39,16,55,2.2,1.2,9.6,3.6
2,0.3333333333333333,0.0,2.1999999999999997,1.4,0.6,0.23076923076923078,20,21,41,1.4,1.2,6.2,5.4
2,0.6666666666666666,0.0,1.0999999999999999,1.6,0.42857142857142855,0.5714285714285714,12,15,27,1.2,0.2,6.4,4.2
2,1.0,0.0,0.9,1.1,0.5,0.5,9,11,20,0.8,1.4,7.2,7.0
1,0.0,0.3333333333333333,1.9999999999999998,1.0999999999999999,0.4,0.75,23,9,32,2.6,1.0,7.2,5.2
1,0.0,0.25,2.2,2.3,0.4,0.5,24,23,47,0.8,2.0,7.6,7.4
3,0.0,0.42857142857142855,1.8,2.3000000000000003,0.36363636363636365,0.7777777777777778,21,18,39,0.8,0.6,5.4,5.2
3,0.1111111111111111,0.3333333333333333,2.8,2.1999999999999997,0.47368421052631576,0.6666666666666666,29,19,48,0.8,0.4,5.0,4.6
2,0.6666666666666666,0.0,1.2,1.2,0.42857142857142855,0.3333333333333333,13,15,28,1.8,1.0,6.6,4.2
3,0.5,0.25,1.8,1.7,0.6666666666666666,0.4444444444444444,16,18,34,1.8,2.2,7.6,2.4
1,0.0,0.25,2.0,1.7,0.4166666666666667,0.4,22,19,41,0.6,1.8,4.6,2.2
1,0.0,0.3333333333333333,1.3,1.7,0.2,0.375,19,19,38,1.6,0.8,5.0,4.2
2,0.5,0.25,1.2000000000000002,1.3,0.2,0.5714285714285714,18,12,30,0.6,0.8,4.4,3.4
3,0.0,0.42857142857142855,0.30000000000000004,3.0,0.0,0.5833333333333334,4,28,32,1.0,1.8,4.6,8.6
3,0.4,0.16666666666666666,1.6,2.1999999999999997,0.45454545454545453,0.6,17,20,37,0.8,1.0,5.6,4.4
5,0.5,0.75,1.8,1.7,0.4444444444444444,0.36363636363636365,19,20,39,0.6,1.8,8.6,2.8
4,0.2222222222222222,0.4,3.3,1.9,0.6428571428571429,0.5555555555555556,29,18,47,0.6,0.2,5.8,4.8
5,0.4,0.375,2.1,3.4,0.5,0.5714285714285714,21,32,53,1.6,1.0,5.8,3.4
3,0.42857142857142855,0.0,2.6,2.3,0.4666666666666667,0.45454545454545453,27,24,51,1.6,1.2,7.4,4.0
1,0.16666666666666666,0.0,2.5999999999999996,1.2999999999999998,0.5,0.3333333333333333,26,16,42,2.4,1.0,5.8,6.8
3,0.3333333333333333,0.1111111111111111,2.3,3.8,0.6666666666666666,0.6923076923076923,20,33,53,0.6,1.8,4.4,3.2
1,0.08333333333333333,0.0,5.199999999999999,2.3,0.5,0.7142857142857143,52,20,72,1.8,0.8,7.6,6.0
2,0.25,0.2,2.0,1.7,0.5,0.5555555555555556,20,16,36,2.0,1.0,7.4,6.6
3,0.3333333333333333,0.14285714285714285,2.6999999999999997,2.9000000000000004,0.6,0.5384615384615384,25,28,53,0.4,1.0,5.6,2.8
1,0.0,0.3333333333333333,2.1,0.9999999999999999,0.45454545454545453,1.0,22,7,29,1.4,0.8,7.2,3.6
4,0.6,0.25,1.5,1.8,0.625,0.3333333333333333,13,22,35,1.0,0.6,6.4,5.0
3,1.0,0.0,1.5,1.1,0.23076923076923078,0.2857142857142857,22,14,36,2.4,1.0,9.4,6.4
2,0.25,0.0,3.1,1.4,0.5,0.6,31,13,44,3.2,0.8,8.2,3.6
1,0.16666666666666666,0.0,2.5,1.4,0.42857142857142855,0.6,27,13,40,1.6,1.2,6.2,3.2
3,0.2857142857142857,0.2,2.8000000000000003,2.5,0.7777777777777778,0.45454545454545453,23,26,49,2.6,1.0,6.6,4.0
2,0.18181818181818182,0.0,4.1,1.0,0.4583333333333333,0.2857142857142857,43,13,56,1.2,1.2,4.6,4.6
5,0.5,0.0,3.5,0.5,0.6666666666666666,0.3333333333333333,30,6,36,1.6,1.2,9.2,5.4
6,0.5,0.75,2.5,1.4,0.46153846153846156,0.6666666666666666,26,12,38,0.6,0.8,6.6,3.6
6,0.375,0.375,3.3,3.0,0.5333333333333333,0.5333333333333333,32,29,61,1.4,1.8,5.0,9.4
5,0.4,0.3333333333333333,3.3,1.5,0.5263157894736842,0.6,32,14,46,3.0,0.8,5.0,2.8
5,0.5555555555555556,0.0,3.1999999999999997,2.5,0.6923076923076923,0.2857142857142857,27,31,58,0.8,0.8,8.0,4.0
1,0.3333333333333333,0.0,1.0999999999999999,2.5,0.25,0.38461538461538464,17,28,45,1.6,0.8,6.2,5.0
1,0.2,0.0,2.0,1.8,0.625,0.625,18,16,34,1.2,1.0,5.4,3.6
2,0.2,0.25,1.9,1.6,0.38461538461538464,0.26666666666666666,22,23,45,1.6,0.6,5.8,3.0
1,0.2,0.0,2.3,1.3,0.4166666666666667,0.16666666666666666,25,17,42,0.8,0.8,4.4,5.0
1,0.0,0.16666666666666666,2.3,2.3,0.35714285714285715,0.5454545454545454,27,22,49,2.4,2.0,8.8,3.2
4,0.4,0.5,2.0,1.6,0.5,0.4444444444444444,20,17,37,1.8,0.8,8.0,5.2
1,0.3333333333333333,0.0,1.2,2.0,0.75,0.35714285714285715,10,24,34,0.6,1.0,4.4,3.6
2,0.2,0.25,2.4,1.9,0.3333333333333333,0.4444444444444444,29,20,49,1.0,1.6,4.6,4.8
4,0.42857142857142855,0.25,2.7,1.3,0.4666666666666667,0.3076923076923077,28,18,46,1.2,0.8,7.4,6.4
2,0.25,0.0,3.2,2.3,0.47058823529411764,0.35294117647058826,33,28,61,2.4,1.0,6.2,5.0
4,0.6,0.125,2.0,2.9,0.5555555555555556,0.6666666666666666,19,25,44,1.4,0.6,4.4,5.2
1,0.25,0.0,1.5,1.4,0.5714285714285714,0.3333333333333333,14,17,31,0.8,1.2,5.6,4.0
3,0.3333333333333333,0.3333333333333333,2.1999999999999997,1.2,0.35294117647058826,0.42857142857142855,27,13,40,1.0,0.6,4.4,4.4
1,0.0,0.25,2.1,1.4,0.6666666666666666,0.4444444444444444,19,15,34,3.0,1.8,8.8,5.4
2,0.25,0.1,1.5,3.7,0.5,0.5882352941176471,15,34,49,2.0,0.8,6.2,5.6
2,0.2,0.5,2.3,1.2000000000000002,0.4166666666666667,0.2,25,18,43,1.0,0.8,5.0,5.6
1,0.14285714285714285,0.0,3.4000000000000004,1.8,0.7,0.4,30,20,50,1.6,0.6,5.6,6.0
3,0.375,0.0,2.9,0.7,0.47058823529411764,0.14285714285714285,30,12,42,3.2,0.6,5.0,4.6
2,0.4,0.0,1.7,1.5,0.625,0.5,15,15,30,0.6,1.0,3.6,4.2
3,0.2,0.4,2.5,1.7,0.3333333333333333,0.625,30,15,45,2.0,0.6,6.6,2.8
3,0.3333333333333333,0.25,2.4,1.7,0.5454545454545454,0.36363636363636365,23,20,43,1.8,1.2,3.6,5.0
4,0.6666666666666666,0.0,2.4,2.0999999999999996,0.5,0.5,24,21,45,2.2,0.8,8.0,5.6
2,0.5,0.0,2.3,1.2,0.2,0.6,35,11,46,2.4,1.6,9.0,4.0
1,0.2,0.0,2.3,1.5,0.5555555555555556,0.3333333333333333,22,18,40,1.4,1.2,5.2,5.2
0,0.0,0.0,3.2,0.4,0.5,0.0,32,9,41,2.2,0.4,5.8,3.0
7,0.4,0.5,5.9,0.6,0.5555555555555556,1.0,56,4,60,2.4,0.8,9.6,6.6
1,0.0,0.3333333333333333,1.0999999999999999,1.2999999999999998,0.5,0.21428571428571427,11,21,32,1.4,2.4,7.8,8.4
5,0.3333333333333333,0.36363636363636365,1.7999999999999998,4.1,0.2727272727272727,0.6875,23,35,58,1.2,0.8,6.6,5.4
3,0.1111111111111111,0.4,3.1999999999999997,1.7,0.5294117647058824,0.5,31,17,48,1.2,0.6,5.6,3.4
4,0.15384615384615385,0.5,4.7,1.4,0.6842105263157895,0.5714285714285714,40,13,53,1.6,0.6,7.8,4.2
0,0.0,0.0,2.8000000000000003,1.6,0.4666666666666667,0.21428571428571427,29,24,53,1.8,0.8,7.0,2.8
1,0.5,0.0,0.8,2.1,0.2857142857142857,0.45454545454545453,11,22,33,0.8,2.0,5.2,5.6
3,0.5,0.2,1.9,1.7,0.3076923076923077,0.625,24,15,39,1.4,0.6,4.4,6.2
